operation,implementation,batch_size,seq_length,hidden_dim,mean_ms,std_ms
gelu,pytorch,16,256,128,0.023854719884693624,0.018445829013324557
gelu,cuda,16,256,128,0.02119744012132287,0.007004717869425777
gelu,triton,16,256,128,0.03849024003371596,0.026932782193815036
swish,pytorch,16,256,128,0.030244480315595866,0.023668511331222917
swish,cuda,16,256,128,0.02342144012451172,0.012634507650875289
swish,triton,16,256,128,0.031071360036730767,0.012180259965277681
layernorm,pytorch,16,256,128,0.04665216013789177,0.0248556085772909
layernorm,cuda,16,256,128,0.04453312039375305,0.012084306929846335
layernorm,triton,16,256,128,0.0454297598451376,0.017508863432049233
fused_ln_gelu,pytorch,16,256,128,0.052053759172558785,0.06445245064525394
fused_ln_gelu,cuda,16,256,128,0.0405548794567585,0.0023851629964471077
fused_ln_gelu,triton,16,256,128,0.042028799876570704,0.008707151927382832
gelu,pytorch,16,256,256,0.01784895982593298,0.006589116964076697
gelu,cuda,16,256,256,0.021423359978944064,0.010805458036073965
gelu,triton,16,256,256,0.027730560041964055,0.004051705938518296
swish,pytorch,16,256,256,0.025338240154087543,0.007323380629878104
swish,cuda,16,256,256,0.02047808000817895,0.007243254658106828
swish,triton,16,256,256,0.03344319991767406,0.005612968599266172
layernorm,pytorch,16,256,256,0.04321407958865166,0.006577143179134377
layernorm,cuda,16,256,256,0.04401791974902153,0.005559825744100052
layernorm,triton,16,256,256,0.04709439989179373,0.026377275169907736
fused_ln_gelu,pytorch,16,256,256,0.05904896058142185,0.01630364518942383
fused_ln_gelu,cuda,16,256,256,0.04681407980620861,0.015914314867574022
fused_ln_gelu,triton,16,256,256,0.053269119933247566,0.027232867868890683
gelu,pytorch,16,256,512,0.019406719990074636,0.003737650183593582
gelu,cuda,16,256,512,0.030426240116357802,0.0036776045370475454
gelu,triton,16,256,512,0.03060672029852867,0.0026943939933804268
swish,pytorch,16,256,512,0.03227583974599838,0.004075935222880697
swish,cuda,16,256,512,0.031215360276401042,0.030353398628537448
swish,triton,16,256,512,0.038107519894838335,0.029377421389069312
layernorm,pytorch,16,256,512,0.06441792041063309,0.05355151457957421
layernorm,cuda,16,256,512,0.05055935986340046,0.00426882106298151
layernorm,triton,16,256,512,0.04919487949460745,0.023462158888957037
fused_ln_gelu,pytorch,16,256,512,0.0813491190969944,0.054607915849753566
fused_ln_gelu,cuda,16,256,512,0.05714112006127834,0.004524146336345285
fused_ln_gelu,triton,16,256,512,0.05002368003129959,0.003496336812234873
gelu,pytorch,16,256,768,0.02930943988263607,0.006105606167498117
gelu,cuda,16,256,768,0.045368319228291515,0.009461429014078813
gelu,triton,16,256,768,0.04143295988440514,0.010112646970540432
swish,pytorch,16,256,768,0.14233855932950973,0.00566255436847626
swish,cuda,16,256,768,0.03833024010062218,0.010302920203161611
swish,triton,16,256,768,0.04343679949641228,0.01098853373143462
layernorm,pytorch,16,256,768,0.06601535998284817,0.006542595181689496
layernorm,cuda,16,256,768,0.06254208080470562,0.011894312169933176
layernorm,triton,16,256,768,0.04555008053779602,0.006788014407520831
fused_ln_gelu,pytorch,16,256,768,0.11985088124871254,0.012088246152130736
fused_ln_gelu,cuda,16,256,768,0.06950400039553642,0.004342643502871982
fused_ln_gelu,triton,16,256,768,0.06948288030922413,0.025090442277288072
gelu,pytorch,16,512,128,0.03192959969863295,0.06340686621720226
gelu,cuda,16,512,128,0.03406719963997602,0.0981307293712614
gelu,triton,16,512,128,0.027274239994585513,0.0034505168348675052
swish,pytorch,16,512,128,0.025443840101361276,0.004558739673678091
swish,cuda,16,512,128,0.020076160058379172,0.004966329373138363
swish,triton,16,512,128,0.03184255996719003,0.01808464301913983
layernorm,pytorch,16,512,128,0.06957504078745842,0.0026943650765052056
layernorm,cuda,16,512,128,0.07147392094135284,0.004514495873867692
layernorm,triton,16,512,128,0.062380160465836526,0.021385819190522477
fused_ln_gelu,pytorch,16,512,128,0.07785088002681732,0.0034140091530195102
fused_ln_gelu,cuda,16,512,128,0.07595776185393334,0.009290377346895104
fused_ln_gelu,triton,16,512,128,0.05981504008173943,0.009671809255258557
gelu,pytorch,16,512,256,0.020323840156197547,0.0026753657628947568
gelu,cuda,16,512,256,0.030392959862947464,0.00228607490927691
gelu,triton,16,512,256,0.03212287984788418,0.004185464780366297
swish,pytorch,16,512,256,0.03529023978859186,0.012181882878217434
swish,cuda,16,512,256,0.039586560130119325,0.02017396217336778
swish,triton,16,512,256,0.029251199923455717,0.010609387591501592
layernorm,pytorch,16,512,256,0.08337920039892197,0.013044138612472975
layernorm,cuda,16,512,256,0.09051775991916657,0.013756837036027687
layernorm,triton,16,512,256,0.06112576052546501,0.008391344149637147
fused_ln_gelu,pytorch,16,512,256,0.09060032024979592,0.0013759371835108333
fused_ln_gelu,cuda,16,512,256,0.08302527859807014,0.0021203739520930867
fused_ln_gelu,triton,16,512,256,0.05803968012332916,0.004894283748213674
gelu,pytorch,16,512,512,0.046649600118398665,0.012544507988714268
gelu,cuda,16,512,512,0.053278079628944396,0.003861632258165775
gelu,triton,16,512,512,0.06156096071004868,0.011040598960869712
swish,pytorch,16,512,512,0.3172761607170105,0.011297301570566173
swish,cuda,16,512,512,0.04397055976092815,0.002901415936490726
swish,triton,16,512,512,0.04657792039215565,0.0031410844257102116
layernorm,pytorch,16,512,512,0.10771072074770928,0.03652998057589566
layernorm,cuda,16,512,512,0.09665920078754425,0.011185929385666133
layernorm,triton,16,512,512,0.06377088062465192,0.006731743209011153
fused_ln_gelu,pytorch,16,512,512,0.2007135981321335,0.0037282744995724222
fused_ln_gelu,cuda,16,512,512,0.09945920050144196,0.0015503088571541938
fused_ln_gelu,triton,16,512,512,0.06814016044139862,0.0035161227712191324
gelu,pytorch,16,512,768,0.2170265606045723,0.004155461867326499
gelu,cuda,16,512,768,0.21871616154909135,0.006385015886203121
gelu,triton,16,512,768,0.2217324808239937,0.009003484742725547
swish,pytorch,16,512,768,0.5462796783447266,0.005469041252093479
swish,cuda,16,512,768,0.21823360234498979,0.007243727307352347
swish,triton,16,512,768,0.22626176059246064,0.008538540375280823
layernorm,pytorch,16,512,768,0.2239135992527008,0.009033434813715657
layernorm,cuda,16,512,768,0.2152684810757637,0.008284755601321196
layernorm,triton,16,512,768,0.23684032052755355,0.019201261259003777
fused_ln_gelu,pytorch,16,512,768,0.41672448217868807,0.006449999047356951
fused_ln_gelu,cuda,16,512,768,0.217612801194191,0.007654440268501697
fused_ln_gelu,triton,16,512,768,0.2277676796913147,0.013410058275176249
gelu,pytorch,16,1024,128,0.02190016008913517,0.029544037802958934
gelu,cuda,16,1024,128,0.028682879991829394,0.007170801282486532
gelu,triton,16,1024,128,0.05223808065056801,0.07095885391130345
swish,pytorch,16,1024,128,0.03238976016640663,0.00735157440595654
swish,cuda,16,1024,128,0.023658239804208277,0.004621081166552721
swish,triton,16,1024,128,0.037830400206148626,0.028904065780012193
layernorm,pytorch,16,1024,128,0.11566144093871117,0.004775541353976399
layernorm,cuda,16,1024,128,0.12623807936906814,0.0026075523735781757
layernorm,triton,16,1024,128,0.08957439973950386,0.010340172487949524
fused_ln_gelu,pytorch,16,1024,128,0.1291225606203079,0.0009973293237780334
fused_ln_gelu,cuda,16,1024,128,0.133054721057415,0.008013071037831231
fused_ln_gelu,triton,16,1024,128,0.09009344011545181,0.006827717596440556
gelu,pytorch,16,1024,256,0.04057664014399052,0.007357062532976005
gelu,cuda,16,1024,256,0.0519059207290411,0.020981624999196723
gelu,triton,16,1024,256,0.046913920491933825,0.005109511021641671
swish,pytorch,16,1024,256,0.31058304369449613,0.022693899166808036
swish,cuda,16,1024,256,0.04621055968105793,0.011797208127896483
swish,triton,16,1024,256,0.0559974404424429,0.01729257621047058
layernorm,pytorch,16,1024,256,0.13818431854248048,0.004743794685640062
